Doug Lamborn,US,4
Jill Ford,Mississippi,4
Nathan Dahm,Oklahoma,4
Edward Durr,New Jersey,4
Brian Adams,South Carolina,4
David Hale,Kentucky,4
Christine Goodwin,Oregon,4
Ryan Rose,Arkansas,4
Rodney Montoya,New Mexico,4
Timothy Moffitt,North Carolina,4
Debra Moody,Tennessee,4
Jim Perry,North Carolina,4
Aaron Aylward,South Dakota,4
Denny Hoskins,Missouri,4
Jake Teshka,Indiana,4
Janince Bowling,Tennessee,4
Diana Harshbarger,US,4
Cody Vasut,Texas,4
Janne Myrdal,North Dakota,4
Roger Nutt,South Carolina,4
Shane Baker,Kentucky,4
Cody Rogers,Oklahoma,4
Paul Newton,North Carolina,4
Cody Harris,Texas,4
Dennis Powers,Tennessee,4
Dean Black,Florida,4
Jay Kilmartin,South Carolina,4
Dan Howell,Tennessee,4
Randy Fine,Florida,4
Jason Zachary,Tennessee,4
Stan Kitzman,Texas,4
Stan Gerdes,Texas,4
Ted Alexander,North Carolina,3
Scott Sharp,Kentucky,3
Ben Cline,US,3
Scott Odenbach,South Dakota,3
Scott Moore,South Dakota,3
Austen Schauer,North Dakota,3
Scott Heiner,Wyoming,3
Ashley Trantham,South Carolina,3
Virginia Foxx,US,3
Clint Dixon,Georgia,3
Anthony Kern,Arizona,3
Savannah Maddox,Kentucky,3
Stacey Hobgood-Wilkes,Mississippi,3
Anne Thayer,South Carolina,3
Clay Higgins,US,3
Tara Durant,Virginia,3
Cameron Cooper,Arkansas,3
Dan Sullivan,Arkansas,3
Caroline Harris,Texas,3
Burgess Owens,US,3
Ben Gilmore,Arkansas,3
Tony Randolph,South Dakota,3
Troy Nehls,US,3
Dan Ruby,North Dakota,3
Paul Gosar,US,3
Brian Lawson,South Carolina,3
Paul Bettencourt,Texas,3
Melanie Sojourner,Mississippi,3
James Frank,Texas,3
James Kasper,North Dakota,3
Robert Aderholt,US,3
Lindsey Tichenor,Kentucky,3
Cheri Steinmetz,Wyoming,3
Toni Hasenbeck,Oklahoma,3
Sonia Eubanks Barker,Arkansas,3
Bill Posey,US,3
Colton Moore,Georgia,3
Shelley Frommeyer,Kentucky,3
Shawn Still,Georgia,3
Shawn McPherson,Kentucky,3
Bethany Soye,South Dakota,3
DJ Johnson,Kentucky,3
Ben Krohmer,South Dakota,3
Thomas Huff,Kentucky,3
Dennis Biteman,Wyoming,3
Steven Doan,Kentucky,3
Wendy Davis Schuler,Wyoming,3
Deanna Frazier Gordon,Kentucky,3
Diamond Garcia,Hawaii,3
Donald McCabe,South Carolina,3
Alejandro Rizo,Florida,3
Alan Clark,Arkansas,3
Andy Biggs,US,3
Robert Sampson,Connecticut,3
Lisa Barnes,North Carolina,3
Adam Anderson,Florida,3
Robert May,South Carolina,3
Wren Williams,Virginia,3
Robert Karnes,West Virginia,3
Earl Carter,US,3
Ed  Diehl,Oregon,3
Rusty Crowe,Tennessee,3
Carden Summers,Georgia,3
David Smith,Oregon,3
David Vaughan,South Carolina,3
Jake Ellzey,US,3
Andrew Murr,Texas,3
William Lamberth,Tennessee,3
Brian Babin,US,3
Ryan Williams,Tennessee,3
Brent Taylor,Tennessee,3
Cherielynn Westrich,Iowa,3
Brent Hoffman,South Dakota,3
Tim French,Wyoming,3
Brandon Reed,Kentucky,3
Tim Walberg,US,3
Chris Karr,South Dakota,3
Timmy Truett,Kentucky,3
Steve Daines,US,3
Tina Mulally,South Dakota,3
Todd Longanacre,West Virginia,3
Brad Hudson,Missouri,3
Bobby McCool,Kentucky,3
Tom Gann,Oklahoma,3
Blake Johnson,Arkansas,3
Claudia Tenney,US,3
Clay Doggett,Tennessee,3
Wade Williams,Kentucky,3
Daniel Fister,Kentucky,3
Julie Auch,South Dakota,3
Russell Webber,Kentucky,3
Paul Rose,Tennessee,3
Kevin West,Oklahoma,3
Emily Callaway,Kentucky,3
Ferrell Haile,Tennessee,3
Giovanni Capriglione,Texas,3
Fred Deutsch,South Dakota,3
Rex Rice,South Carolina,3
Lance Gooden,US,3
Kevin Jensen,South Dakota,3
Kevin Hern,US,3
Frederick Frazier,Texas,3
Gary Boswell,Kentucky,3
Lynn Findley,Oregon,3
Kevin Corbin,North Carolina,3
Erik Peterson,New Jersey,3
Rick Eldridge,Tennessee,3
Mike Johnson,US,3
Phil King,Texas,3
Marty Overweg,South Dakota,3
Michelle Salzman,Florida,3
Jon Milligan,Arkansas,3
Eric Crawford,US,3
Marie March,Virginia,3
Jason Petrie,Kentucky,3
Richard Heath,Kentucky,3
