Sponsors,State,Number,Count
Education,Iowa,"[""HF348'"", ""'HF616'"", ""'HF620'"", ""'HSB222'"", ""'SF482'"", ""'SF496'"", ""'HF180'"", ""'HF180""]",8
Education,Kansas,"[""HB2238'"", ""'SB207""]",2
Education & Employment Committee,Florida,"[""H1069'"", ""'H1069""]",2
Education Committee,Idaho,['S1100'],1
Education Pre-K -12,Florida,['S1320'],1
Education Quality Subcommittee,Florida,"[""H1069'"", ""'H1069""]",2
Edward Durr,New Jersey,"[""S2648'"", ""'S3076'"", ""'S585'"", ""'S589""]",4
Edward Jackson,Tennessee,"[""SB0001'"", ""'SB0003""]",2
Edward Thomson,New Jersey,['A3883'],1
Elaine Davis,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0571""]",3
Elaine Gannon,Missouri,"[""SB39'"", ""'SB49""]",2
Elaine Morgan,Rhode Island,"[""S0391'"", ""'S0487""]",2
Elaine Price,Idaho,['H0071'],1
Elias Coop-Gonzalez,West Virginia,"[""HB2007'"", ""'HB3503""]",2
Elise Stefanik,US,"[""HB734'"", ""'HB5""]",2
Elizabeth May,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HB1080""]",4
Ellen Campbell,Virginia,['HB1707'],1
Ellen Troxclair,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB888'"", ""'HB3883""]",6
Ember Oakley,Wyoming,['HB0187'],1
Emily Brewer,Virginia,['HB1387'],1
Emily Callaway,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177""]",3
Emily McIntire,Oregon,['HB2186'],1
Eric Brooks,West Virginia,"[""HB2007'"", ""'HB3097""]",2
Eric Crawford,US,"[""HB734'"", ""'HB5""]",2
Eric Lucero,Minnesota,"[""SF311'"", ""'SF933""]",2
Eric Tarr,West Virginia,['SB103'],1
Erik Peterson,New Jersey,"[""A1418'"", ""'A1630'"", ""'A4042""]",3
Erin Grall,Florida,['S1674'],1
Erin Houchin,US,"[""HB734'"", ""'HB5""]",2
Ernest Bailes,Texas,['HB23'],1
Ernest Gonzales,US,['HB5'],1
Ernie Otten,South Dakota,['HB1080'],1
Esther Helton-Haynes,Tennessee,['HB0001'],1
Evan Vickers,Utah,['HB0329'],1
Evie Brennan,Wyoming,['SF0111'],1
Federal and State Affairs,Kansas,"[""SB233'"", ""'HB2404'"", ""'HB2427'"", ""'SB149'"", ""'SB201'"", ""'SB224'"", ""'SB255'"", ""'SB291""]",8
Felicia Rabourn,Kentucky,"[""HB120'"", ""'HB177""]",2
Ferrell Haile,Tennessee,"[""SB0001'"", ""'SB0003'"", ""'SB0466""]",3
Forrest Chadwick,Wyoming,['SF0111'],1
Four Price,Texas,['HB23'],1
Frances Cavenaugh,Arkansas,['SB294'],1
Frank Niceley,Tennessee,['SB0003'],1
Frank Sossamon,North Carolina,['H43'],1
Fred Deutsch,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Fred Shanks,Mississippi,"[""HB1127'"", ""'HB1480""]",2
Frederick Frazier,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
Garland Barr,US,['HB734'],1
Garret Graves,US,['HB5'],1
Gary Boswell,Kentucky,"[""SB115'"", ""'SB150'"", ""'SB102""]",3
Gary Brewer,South Carolina,['H3197'],1
Gary Byrne,Indiana,"[""HB1608'"", ""'SB0480'"", ""'SB0351'"", ""'SB0413""]",4
Gary Click,Ohio,"[""HB68'"", ""'HB6""]",2
Gary Gates,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Gary Howell,West Virginia,['HB3176'],1
Gary Stubblefield,Arkansas,"[""SB199'"", ""'SB294'"", ""'SB43'"", ""'HB1615""]",4
Gary Vandeaver,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
Geanie Morrison,Texas,"[""HB1686'"", ""'HB23""]",2
Gene Newman,Mississippi,['HB1125'],1
Geno Chiarelli,West Virginia,"[""HB2007'"", ""'HB2923'"", ""'HB2972'"", ""'HB2998'"", ""'HB3001""]",5
Geoff Foster,West Virginia,"[""HB2007'"", ""'HB3097""]",2
George Burns,Oklahoma,"[""SB129'"", ""'SB613'"", ""'SB131'"", ""'SB250'"", ""'SB251'"", ""'SB252'"", ""'SB30""]",7
George Campsen,South Carolina,['S0234'],1
George Cleveland,North Carolina,['H43'],1
George Santos,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
George Wise,Kentucky,['SB150'],1
Gerard Scharfenberger,New Jersey,"[""A1418'"", ""'A1630""]",2
Gex Williams,Kentucky,"[""SB115'"", ""'SB150'"", ""'SB102""]",3
Gil Gatch,South Carolina,['H3197'],1
Ginny Ehrhart,Georgia,['HB653'],1
Gino Bulso,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0239'"", ""'HB0306'"", ""'HB0878""]",5
Giovanni Capriglione,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
Glenn Grothman,US,"[""HB1276'"", ""'HB1399'"", ""'HB5""]",3
Glenn Gruenhagen,Minnesota,"[""SF311'"", ""'SF933""]",2
Glenn Rogers,Texas,"[""HB1686'"", ""'HB23'"", ""'HB888""]",3
Glenn Thompson,US,['HB5'],1
Glenneda Zuiderveld,Idaho,['H0071'],1
Gordon Rogers,Rhode Island,['S0487'],1
Grant Hodges,Arkansas,['SB294'],1
Greg Bonnen,Texas,"[""HB1686'"", ""'HB23'"", ""'HB4378""]",3
Greg Dolezal,Georgia,['SB141'],1
Greg Murphy,US,['HB734'],1
Greg Steube,US,"[""HB734'"", ""'HR115'"", ""'HB1399'"", ""'HB5'"", ""'HB985""]",5
Greg Vital,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Greg Walker,Indiana,['SB0480'],1
Gregory McGuckin,New Jersey,"[""A1418'"", ""'A1630""]",2
Guy Reschenthaler,US,['HB5'],1
Guy Ward,West Virginia,['HB2007'],1
Hardy Billington,Missouri,['HB1258'],1
Harlan Breaux,Arkansas,"[""SB294'"", ""'HB1468""]",2
Harlan Vincent,New Mexico,"[""HB490'"", ""'HB492'"", ""'HM57""]",3
Harold Corbin,North Carolina,['S49'],1
Harriet Hageman,US,"[""HB734'"", ""'HR115'"", ""'HB1399'"", ""'HB5""]",4
Harry Niska,Minnesota,['HF551'],1
Health And Human Services,Iowa,['SF538'],1
Health Policy,Florida,['S0254'],1
Healthcare Regulation Subcommittee,Florida,['H1421'],1
Heather Crawford,South Carolina,"[""H3551'"", ""'H3551""]",2
Heather Hora,Iowa,['HF2'],1
Heather Scott,Idaho,['H0071'],1
Helena Hayes,Iowa,['HF482'],1
Henry Dillon,West Virginia,"[""HB3176'"", ""'HB3183""]",2
Henry Stone,Iowa,['HF2'],1
Holly Thompson Rehder,Missouri,"[""SB39'"", ""'SB49""]",2
Howard Beaty,Arkansas,['SB294'],1
Howard Pearl,New Hampshire,['SB272'],1
Hugh Shine,Texas,"[""HB1686'"", ""'HB23""]",2
Hyland Fowler,Virginia,['HB1387'],1
Iris Rudder,Tennessee,['HB0001'],1
J.D. Vance,US,['SB635'],1
J.M. Lozano,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23""]",3
Jacey Jetton,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
Jack Bergman,US,['HB734'],1
Jack Fortner,Arkansas,['SB294'],1
Jack Johnson,Tennessee,"[""SB0001'"", ""'SB0003'"", ""'SB1469""]",3
Jack Ladyman,Arkansas,"[""HB1156'"", ""'SB43""]",2
Jack Sandlin,Indiana,"[""SB0480'"", ""'SB0351""]",2
Jacob Bossman,Iowa,['HF2'],1
Jacob Justice,Kentucky,['HB177'],1
Jacob Laturner,US,['HB5'],1
Jacyn Gallagher,Idaho,['H0071'],1
Jake Ellzey,US,"[""HB734'"", ""'HR115'"", ""'HB5""]",3
Jake Hoffman,Arizona,['SB1694'],1
Jake Johnson,North Carolina,['H43'],1
Jake McCalmon,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878""]",4
Jake Teshka,Indiana,"[""HB1608'"", ""'SB0480'"", ""'HB1220'"", ""'HB1346""]",4
James Adams,North Carolina,['H43'],1
James Baird,US,['HB5'],1
James Buck,Indiana,['SB0480'],1
James Burns,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3564'"", ""'H3565'"", ""'H3827""]",8
James Clampitt,North Carolina,['H43'],1
James Comer,US,['HB734'],1
James DeSana,Michigan,['HB4257'],1
James Edmunds,Virginia,['HB1387'],1
James Frank,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
James Gray,New Hampshire,['SB272'],1
James Hieb,Oregon,"[""HB3137'"", ""'SB897""]",2
James Holzapfel,New Jersey,['S589'],1
James Hoops,Ohio,['HB68'],1
James Kasper,North Dakota,"[""HB1249'"", ""'HB1297'"", ""'HB1474""]",3
James Lankford,US,['SB635'],1
James Ohrenschall,Nevada,['SB302'],1
James Risch,US,['SB200'],1
James Spillane,New Hampshire,['HB619'],1
James Tipton,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
James Tomes,Indiana,['SB0480'],1
James Townsend,New Mexico,['HB490'],1
James White,Maine,['LD678'],1
Jami Cate,Oregon,['SB897'],1
Jamie Burger,Missouri,['HB183'],1
Jane English,Arkansas,['SB294'],1
Janie Lopez,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23""]",3
Janince Bowling,Tennessee,"[""SB1440'"", ""'SB0001'"", ""'SB0003'"", ""'SB0005""]",4
Janne Myrdal,North Dakota,"[""HB1249'"", ""'HB1254'"", ""'HB1297'"", ""'HB1489""]",4
Jared Olsen,Wyoming,"[""SF0111'"", ""'SF0159""]",2
Jared Patterson,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB436'"", ""'HB643'"", ""'HB4961""]",7
Jaron Crane,Idaho,['H0071'],1
Jason Anavitarte,Georgia,['SB140'],1
Jason Ballard,Virginia,['HB1387'],1
Jason Barrett,Mississippi,['SB2760'],1
Jason Bean,Missouri,"[""SB39'"", ""'SB49""]",2
Jason Buckel,Maryland,['HB359'],1
Jason Elliott,South Carolina,['H3728'],1
Jason Petrie,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Jason Smith,US,['HB734'],1
Jason Zachary,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0878""]",3
Jay Dean,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23""]",3
Jay Edwards,Ohio,['HB68'],1
Jay Jacobs,Maryland,['HB359'],1
Jay Kilmartin,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Jay Reedy,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0571""]",3
Jay Taylor,West Virginia,"[""SB692'"", ""'SB697""]",2
Jay Webber,New Jersey,['A3883'],1
Jean Schmidt,Ohio,['HB6'],1
Jeanette Ward,Wyoming,"[""SF0159'"", ""'SF0172""]",2
Jeanine Notter,New Hampshire,"[""HB396'"", ""'HB619""]",2
Jeb Bradley,New Hampshire,['SB272'],1
Jeff Cornilles,Idaho,['H0071'],1
Jeff Duncan,US,"[""HB429'"", ""'HB734'"", ""'HR115'"", ""'HB1399'"", ""'HB5""]",5
Jeff Ghrist,Maryland,['HB359'],1
Jeff Hale,Mississippi,['HB1127'],1
Jeff Hoverson,North Dakota,"[""HB1526'"", ""'HB1473""]",2
Jeff Howe,Minnesota,['SF933'],1
Jeff LaRe,Ohio,['HB6'],1
Jeff Leach,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3502'"", ""'HB888""]",5
Jeff Raatz,Indiana,"[""HB1407'"", ""'HB1608'"", ""'SB0480'"", ""'SB0354""]",4
Jeff Reichman,Iowa,['SF83'],1
Jeff Shipley,Iowa,"[""HF2'"", ""'HF325""]",2
Jeff Tate,Mississippi,"[""SB2760'"", ""'SB2770""]",2
Jeff Taylor,Iowa,"[""SF83'"", ""'SF110""]",2
Jeff Van Drew,US,"[""HB216'"", ""'HB734'"", ""'HB5""]",3
Jeff Wardlaw,Arkansas,['SB294'],1
Jeffery Magrum,North Dakota,['HB1332'],1
Jeffrey Bradley,South Carolina,['H3728'],1
Jeffrey McNeely,North Carolina,['H43'],1
Jena Powell,Ohio,"[""HB68'"", ""'HB6""]",2
Jenifer Jones,New Mexico,['HM57'],1
Jennifer Branning,Mississippi,"[""SB2760'"", ""'SB2773""]",2
Jennifer Gross,Ohio,"[""HB68'"", ""'HB6""]",2
Jennifer Henson Decker,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",4
Jenniffer Gonzalez-Colon,US,['HB734'],1
Jenny Graham,Washington,['HB1233'],1
Jeremiah Moore,Arkansas,['SB294'],1
Jeremy England,Mississippi,['SB2760'],1
Jeremy Faison,Tennessee,"[""HB0001'"", ""'HB1269'"", ""'HB1447""]",3
Jeremy Haroldson,Wyoming,"[""SF0159'"", ""'SF0172'"", ""'SF0133""]",3
Jerome Moon,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0878""]",3
Jerry Carl,US,"[""HB734'"", ""'HB5""]",2
Jerry Darnell,Mississippi,['HB1127'],1
Jerry Turner,Mississippi,['HB1127'],1
Jesse Green,Iowa,"[""SF83'"", ""'SF110""]",2
Jessica Bahmuller,South Dakota,['HB1080'],1
Jessica Baker,Florida,['H1223'],1
Jessica Garvin,Oklahoma,"[""HB1449'"", ""'SB408""]",2
Jill Carter,Missouri,"[""SB39'"", ""'SB49'"", ""'SB164'"", ""'SB165'"", ""'SB429'"", ""'SB430'"", ""'SB436""]",7
Jill Ford,Mississippi,"[""HB1074'"", ""'HB1124'"", ""'HB509'"", ""'HB1125""]",4
Jim Banks,US,"[""HB1276'"", ""'HB734'"", ""'HR115'"", ""'HB1064'"", ""'HB1112'"", ""'HB5""]",6
Jim Bolin,South Dakota,['HB1080'],1
Jim Dotson,Arkansas,"[""SB294'"", ""'SB125""]",2
Jim Gooch,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Jim Hinebaugh,Maryland,['HB359'],1
Jim Kofalt,New Hampshire,['HB396'],1
Jim Mehlhaff,South Dakota,"[""HB1116'"", ""'HB1125""]",2
Jim Olsen,Oklahoma,"[""HB2186'"", ""'HB2177'"", ""'HB1011""]",3
Jim Perry,North Carolina,['S49'],1
Jim Petty,Arkansas,['SB294'],1
Jim Stalzer,South Dakota,"[""HB1125'"", ""'HB1080""]",2
Jim Thomas,Ohio,['HB6'],1
Jim Walsh,Washington,"[""HB1214'"", ""'HB1233""]",2
Jimmie Gazaway,Arkansas,['HB1615'],1
Joan Huffman,Texas,['SB15'],1
Joanna King,Indiana,"[""HB1569'"", ""'SB0480'"", ""'HB1346""]",3
Jody Arrington,US,['HB734'],1
Jody Barrett,Tennessee,"[""HB0009'"", ""'HB0239'"", ""'HB0878'"", ""'HB0571""]",4
Joe Alfieri,Idaho,['H0071'],1
Joe Hamm,Pennsylvania,['HB138'],1
Joe Hoxha,Connecticut,['HB06331'],1
Joe Pike,North Carolina,['H43'],1
Joe White,South Carolina,"[""H3485'"", ""'H3551'"", ""'H3551""]",3
Joe Wilson,US,['HB5'],1
Joel Carter,Mississippi,['SB2760'],1
Joel Fry,Iowa,['HF2'],1
Joel McEntire,Washington,['HB1233'],1
Joey Carr,Arkansas,['HB1468'],1
Joey Fillingane,Mississippi,['SB2760'],1
John Albers,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
John Andrews,Maine,['LD678'],1
John Bear,Wyoming,['SF0159'],1
John Block,New Mexico,"[""HB394'"", ""'HB490'"", ""'HB492""]",3
John Carr,Arkansas,['SB294'],1
John Carter,US,['HB734'],1
John Catalano,New Jersey,"[""A1418'"", ""'A1630""]",2
John Cosgrove,Virginia,['SB911'],1
John Crane,Indiana,['SB0480'],1
John Crawford,Tennessee,['HB0001'],1
John Curtis,US,['HB734'],1
John DiMaio,New Jersey,['A1418'],1
John Fuller,Montana,['SB99'],1
John Hodgson,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30'"", ""'HB58""]",5
John Holsclaw,Tennessee,['HB0001'],1
John Johnson,Utah,['SB0283'],1
John Joyce,US,['HB5'],1
John Kavanagh,Arizona,"[""SB1001'"", ""'SB1026'"", ""'SB1040""]",3
John Kennedy,Georgia,['SB140'],1
John Kolb,Wyoming,['SF0133'],1
John Kuempel,Texas,"[""HB1686'"", ""'HB23""]",2
John Lamar,Mississippi,['HB1126'],1
John Lujan,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
John Maddox,Arkansas,['SB294'],1
John McGuire,Virginia,"[""HB1387'"", ""'HB2432""]",2
John Mccravy,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",5
John Mills,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
John Moolenaar,US,['HB5'],1
John Payton,Arkansas,"[""SB270'"", ""'SB294""]",2
John Prescott,Indiana,['HB1231'],1
John Ragan,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878'"", ""'HB1378""]",5
John Raney,Texas,"[""HB1686'"", ""'HB23""]",2
John Rose,US,['HB734'],1
John Rutherford,US,['HB5'],1
John Schickel,Kentucky,['SB150'],1
John Sjaarda,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HB1080""]",4
John Smithee,Texas,"[""HB1686'"", ""'HB23""]",2
John Stevens,Tennessee,"[""SB1440'"", ""'SB0001'"", ""'SB0003""]",3
John West,South Carolina,['H3728'],1
John Wiik,South Dakota,['HB1080'],1
John Winter,Wyoming,['SF0144'],1
Johnnie Turner,Kentucky,['SB102'],1
Johnny Garrett,Tennessee,"[""HB0001'"", ""'HB0030""]",2
Johnny Rye,Arkansas,"[""SB294'"", ""'SB43'"", ""'HB1468""]",3
Jon Eubanks,Arkansas,['SB294'],1
Jon Hansen,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Jon Lancaster,Mississippi,"[""HB1127'"", ""'HB456""]",2
Jon Milligan,Arkansas,"[""SB294'"", ""'HB1468'"", ""'HB1615""]",3
Jonathan Dismang,Arkansas,['SB294'],1
Jonathan Pinson,West Virginia,['HB2923'],1
Jordan Maynor,West Virginia,['HB2007'],1
Jordan Pace,South Carolina,"[""H3197'"", ""'H3485'"", ""'H3551'"", ""'H3551'"", ""'H3565'"", ""'H3616""]",6
Jordan Redman,Idaho,['H0071'],1
Joseph Bustos,South Carolina,['H3197'],1
Joseph Chaplik,Arizona,['HB2711'],1
Joseph D'Orsie,Pennsylvania,['HB138'],1
Joseph Fox,Michigan,"[""HB4195'"", ""'HB4257""]",2
Joseph Hensley,Tennessee,"[""SB0001'"", ""'SB0003'"", ""'SB0603'"", ""'SB0841'"", ""'SB1237'"", ""'SB1339""]",6
Joseph Pennacchio,New Jersey,['S585'],1
Joseph Seymour,Mississippi,"[""SB2760'"", ""'SB2765""]",2
Josh Bonner,Georgia,"[""SB140'"", ""'HB653""]",2
Josh Calloway,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30'"", ""'HB58""]",5
Josh Hawley,US,['SB457'],1
Josh Miller,Arkansas,['HB1156'],1
Josh Williams,Ohio,['HB68'],1
Joshua Branscum,Kentucky,['HB177'],1
Joshua Bryant,Arkansas,"[""SB294'"", ""'SB43""]",2
Joshua Kimbrell,South Carolina,"[""S0234'"", ""'S0243'"", ""'S0623""]",3
Joshua Meggers,Iowa,['HF2'],1
Joyce Krawiec,North Carolina,['S49'],1
Juan Ciscomani,US,['HB734'],1
Judiciary,Idaho,['H0071'],1
Judiciary,Iowa,"[""HF622'"", ""'HF623""]",2
Judy Aron,New Hampshire,['HB396'],1
Judy Estenson,North Dakota,"[""HB1249'"", ""'HB1254'"", ""'HB1333'"", ""'HB1489""]",4
Julia Letlow,US,['HB5'],1
Julian Garrett,Iowa,['SF83'],1
Julianne Young,Idaho,['H0071'],1
Julie Auch,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Julie Daniels,Oklahoma,"[""HB2546'"", ""'SB408'"", ""'SB613'"", ""'SB614""]",4
Julie Frye-Mueller,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1208'"", ""'HCR6008'"", ""'HB1080""]",5
Julie McGuire,Indiana,['HB1589'],1
Julie Pazina,Nevada,['SB302'],1
Justin Boyd,Arkansas,['SB294'],1
Justin Gonzales,Arkansas,['SB294'],1
Justin Heap,Arizona,['SB1694'],1
Justin Holland,Texas,"[""HB1686'"", ""'HB23""]",2
Justin Lafferty,Tennessee,['HB0571'],1
Justin Pearson,Tennessee,['HB1339'],1
Justin Sparks,Missouri,"[""HB1332'"", ""'HB1333'"", ""'HB540""]",3
Justine Wadsack,Arizona,"[""SB1694'"", ""'SB1700'"", ""'HB2312'"", ""'SB1698'"", ""'SB1702""]",5
Karen Anderson,North Dakota,"[""SB2199'"", ""'SB2199'"", ""'HCR3010""]",3
Karen Greenhalgh,Virginia,['HB1387'],1
Karen Karls,North Dakota,['SB2231'],1
Karen Rohr,North Dakota,"[""HB1332'"", ""'HB1254'"", ""'HB1297'"", ""'HCR3010""]",4
Karilyn Brown,Arkansas,"[""HB1156'"", ""'SB294""]",2
Karla Eslinger,Missouri,"[""SB39'"", ""'SB49""]",2
Karla Lems,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Kat Cammack,US,"[""HB734'"", ""'HB5""]",2
Katherine Prudhomme-O'Brien,New Hampshire,['HB396'],1
Kathie Crouse,West Virginia,['HB3097'],1
Kathleen Kauth,Nebraska,"[""LB574'"", ""'LB575'"", ""'LB743""]",3
Kathy Byron,Virginia,['HB1387'],1
Kathy Chism,Mississippi,"[""SB2760'"", ""'SB2765'"", ""'SB2861'"", ""'SB2864""]",4
Kathy Frelich,North Dakota,['HB1333'],1
Kathy Landing,South Carolina,"[""H3728'"", ""'H3197'"", ""'H3551'"", ""'H3551""]",4
Kathy Szeliga,Maryland,['HB359'],1
Katie Boyd Britt,US,['SR53'],1
Katrina Smith,Maine,['LD678'],1
Katy Hall,Utah,['SB0016'],1
Kay Kirkpatrick,Georgia,['SB140'],1
Keith Ammon,New Hampshire,['HB396'],1
Keith Bell,Texas,"[""HB1686'"", ""'HB23""]",2
Keith Boehm,North Dakota,"[""HB1301'"", ""'HB1249'"", ""'HB1254'"", ""'HB1297'"", ""'HB1474""]",5
Keith Brooks,Arkansas,['SB294'],1
Keith Kidwell,North Carolina,['H43'],1
Keith Murphy,New Hampshire,['SB272'],1
Keith Perry,Florida,"[""S0254'"", ""'S1320'"", ""'S1674""]",3
Keith Self,US,['HB734'],1
Kelby Timmons,North Dakota,"[""HB1526'"", ""'HB1522""]",2
Kelly Hancock,Texas,['SB15'],1
Kelly Keisling,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030""]",3
Ken Buck,US,['HB734'],1
Ken Calvert,US,['HB5'],1
Ken Fontenot,North Carolina,['H43'],1
Ken King,Texas,"[""HB1686'"", ""'HB23""]",2
Ken Morgan,Mississippi,['HB1127'],1
Ken Pendergraft,Wyoming,"[""HB0234'"", ""'SF0172""]",2
Ken Rozenboom,Iowa,['SF83'],1
Ken Upchurch,Kentucky,['HB470'],1
Ken Yager,Tennessee,"[""SB0001'"", ""'SB0003""]",2
Kendon Underwood,Arkansas,"[""SB294'"", ""'HB1615""]",2
Kenneth Davis,Maine,['LD678'],1
Kenny Wroten,Idaho,['H0071'],1
Kent Weston,North Dakota,"[""SB2199'"", ""'SB2199'"", ""'HB1522""]",3
Kerry Roberts,Tennessee,"[""SB1440'"", ""'SB0003""]",2
Kevin Alons,Iowa,"[""SF83'"", ""'SF110""]",2
Kevin Andrus,Idaho,['H0071'],1
Kevin Avard,New Hampshire,"[""HB396'"", ""'SB272""]",2
Kevin Blackwell,Mississippi,['SB2760'],1
Kevin Crutchfield,North Carolina,['H43'],1
Kevin Ford,Mississippi,['HB1127'],1
Kevin Hern,US,"[""HR115'"", ""'HB1399'"", ""'HB5""]",3
Kevin Hornberger,Maryland,['HB359'],1
Kevin Jackson,Kentucky,['HB30'],1
Kevin Jensen,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Kevin Mannix,Oregon,['SB897'],1
Kevin McDugle,Oklahoma,['HB2186'],1
Kevin Miller,Ohio,"[""HB68'"", ""'HB6""]",2
Kevin Raper,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Kevin Sparks,Texas,['SB15'],1
Kevin Verville,New Hampshire,['HB619'],1
Kevin West,Oklahoma,"[""HB2186'"", ""'SB129'"", ""'HB2177""]",3
Kim Hammer,Arkansas,"[""SB294'"", ""'SB43""]",2
Kim King,Kentucky,['HB470'],1
Kim Thatcher,Oregon,['SB897'],1
Kimberly Wallan,Oregon,['HB2477'],1
Kip Capley,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0239'"", ""'HB0030'"", ""'HB0878'"", ""'HB0571""]",6
Kirk Haston,Tennessee,"[""HB0001'"", ""'HB0009""]",2
Kris Jordan,Ohio,"[""HB68'"", ""'HB6""]",2
Kristin Robbins,Minnesota,['HF551'],1
Kronda Thimesch,Texas,"[""HB1686'"", ""'HB23'"", ""'HB3164""]",3
Kyle Kacal,Texas,"[""HB1686'"", ""'HB23""]",2
Lacey Hull,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
Lance Clow,Idaho,['H0071'],1
Lance Gooden,US,"[""HB734'"", ""'HB1399'"", ""'HB5""]",3
Lane Allred,Wyoming,"[""SF0117'"", ""'SF0133""]",2
Larry Bellew,North Dakota,"[""HB1254'"", ""'HB1473""]",2
Larry Bucshon,US,['HB5'],1
Larry Hicks,Wyoming,['SF0172'],1
Larry Kump,West Virginia,['HB3176'],1
Larry Luick,North Dakota,"[""HB1254'"", ""'SB2231""]",2
Larry Walker,Georgia,['SB140'],1
Larry Zikmund,South Dakota,['HB1080'],1
Laurel Lee,US,['HB5'],1
Lauren Arikan,Maryland,['HB359'],1
Lauren Boebert,US,"[""HB734'"", ""'HB1112'"", ""'HB5'"", ""'HB985""]",4
Lawrence Grooms,South Carolina,"[""S0234'"", ""'S0424""]",2
Lawrence Klemin,North Dakota,['HB1333'],1
Lee Anderson,Georgia,"[""SB140'"", ""'SB141'"", ""'SB88""]",3
Lee Johnson,Arkansas,['SB294'],1
Lester Carpenter,Mississippi,['HB1127'],1
Lily Morgan,Oregon,['SB897'],1
Linda Rogers,Indiana,['SB0480'],1
Lindsay Patterson,Indiana,['HB1407'],1
Lindsey Graham,US,['SB200'],1
Lindsey Tichenor,Kentucky,"[""SB115'"", ""'SB150'"", ""'SB102""]",3
Lisa Barnes,North Carolina,['S49'],1
Lisa Frizell,Colorado,['HB1098'],1
Lisa Keim,Maine,['LD678'],1
Lisa McClain,US,['HB736'],1
Lisa Meier,North Dakota,"[""HB1249'"", ""'HB1489'"", ""'HCR3010""]",3
Liz Harris,Arizona,['HB2312'],1
Lloyd Smucker,US,['HB5'],1
Lois Kolkhorst,Texas,"[""SB476'"", ""'SB625'"", ""'SB649'"", ""'SB14'"", ""'SB15""]",5
Lori Chavez-DeRemer,US,"[""HB734'"", ""'HB5""]",2
Lori VanWinkle,North Dakota,"[""HB1301'"", ""'HB1249'"", ""'HB1254'"", ""'HB1297'"", ""'HB1333'"", ""'HB1473'"", ""'HB1489'"", ""'HB1522'"", ""'HCR3010""]",9
Lorissa Sweet,Indiana,['HB1118'],1
