Sponsors,State,Number,Count
Bill Kinkade,Mississippi,['HB1125'],1
Bill Pigott,Mississippi,['HB1127'],1
Bill Posey,US,"[""HB734'"", ""'HB1399'"", ""'HB5""]",3
Bill Taylor,South Carolina,"[""H3728'"", ""'H3197""]",2
Bill Tveit,North Dakota,"[""HB1301'"", ""'SB2199'"", ""'SB2199'"", ""'HB1254'"", ""'HB1333""]",5
Bill Ward,North Carolina,['H43'],1
Bill Wiley,Virginia,"[""HB1387'"", ""'HB2432""]",2
Billy Calvert,Mississippi,['HB1127'],1
Billy Hickman,Georgia,['SB140'],1
Billy Wesley,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30'"", ""'HB58'"", ""'HB585""]",6
Blaise Ingoglia,Florida,['S0952'],1
Blake Doriot,Indiana,"[""SB0480'"", ""'SB0413""]",2
Blake Johnson,Arkansas,"[""SB270'"", ""'SB294'"", ""'SB43""]",3
Blake Stephens,Oklahoma,"[""SB129'"", ""'SB613""]",2
Blake Tillery,Georgia,['SB140'],1
Bo Watson,Tennessee,['SB0003'],1
Bob Hall,Texas,"[""SB1029'"", ""'SB1082'"", ""'SB1198'"", ""'SB1443'"", ""'SB249'"", ""'SB250'"", ""'SB393'"", ""'SCR3'"", ""'SB14'"", ""'SB15""]",10
Bob Long,Maryland,['HB359'],1
Bob Paulson,North Dakota,"[""HB1301'"", ""'HB1249'"", ""'HB1473'"", ""'HB1489'"", ""'SB2260""]",5
Bob Phalen,Montana,['HB234'],1
Bobby Cox,South Carolina,"[""H3728'"", ""'H3485'"", ""'H3551'"", ""'H3551""]",4
Bobby Hanig,North Carolina,['S49'],1
Bobby Kaufmann,Iowa,['HF2'],1
Bobby Levy,Oregon,['SB897'],1
Bobby McCool,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Boomer Wright,Oregon,"[""HB2186'"", ""'SB897""]",2
Brad Boles,Oklahoma,['HB1947'],1
Brad Buckley,Texas,"[""HB1686'"", ""'HB23""]",2
Brad Finstad,US,"[""HB734'"", ""'HB5""]",2
Brad Hudson,Missouri,"[""HB419'"", ""'HB1157'"", ""'HB137""]",3
Brad Overcash,North Carolina,['S49'],1
Brad Wenstrup,US,"[""HB734'"", ""'HB5""]",2
Brad Zaun,Iowa,['SF83'],1
Brady Brammer,Utah,['SB0093'],1
Brady Williamson,Mississippi,"[""HB1127'"", ""'HB456'"", ""'HB576'"", ""'HB1125""]",4
Brandei Schaefbauer,South Dakota,"[""HB1116'"", ""'HB1080""]",2
Brandi Bradley,Colorado,['HB1098'],1
Brandon Achor,Arkansas,['SB294'],1
Brandon Beach,Georgia,"[""SB140'"", ""'SB88""]",2
Brandon Cox,South Carolina,['H3197'],1
Brandon Guffey,South Carolina,['H3485'],1
Brandon Ler,Montana,['HB361'],1
Brandon Mitchell,Idaho,['H0071'],1
Brandon Newton,South Carolina,['H3485'],1
Brandon Prichard,North Dakota,"[""HB1301'"", ""'HB1332'"", ""'HB1526'"", ""'HB1254'"", ""'HB1297'"", ""'HB1333'"", ""'HB1473'"", ""'HB1474""]",8
Brandon Reed,Kentucky,"[""HB470'"", ""'HB177'"", ""'HB30""]",3
Brandon Steele,West Virginia,"[""HB2125'"", ""'HB3097""]",2
Brandon Storm,Kentucky,['SB150'],1
Brandon Williams,US,['HB5'],1
Braxton Mitchell,Montana,['HB359'],1
Breanne Davis,Arkansas,['SB294'],1
Brent Crane,Idaho,['H0071'],1
Brent Hoffman,South Dakota,"[""HB1116'"", ""'HB1125'"", ""'HB1080""]",3
Brent Taylor,Tennessee,"[""SB0001'"", ""'SB0003""]",2
Brenton Awa,Hawaii,"[""SB1428'"", ""'SB1429""]",2
Brett Guthrie,US,['HB5'],1
Brian Adams,South Carolina,"[""S0234'"", ""'S0243'"", ""'S0424""]",3
Brian Babin,US,"[""HB1276'"", ""'HB1399'"", ""'HB5""]",3
Brian Birdwell,Texas,"[""SB14'"", ""'SB15""]",2
Brian Buchanan,Indiana,['SB0480'],1
Brian Chisholm,Maryland,['HB359'],1
Brian Evans,Arkansas,['SB294'],1
Brian Harrison,Texas,"[""HB1029'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB776'"", ""'HB3902""]",6
Brian Lampton,Ohio,['HB68'],1
Brian Lawson,South Carolina,"[""H3485'"", ""'H3551'"", ""'H3551""]",3
Brian Mast,US,['HB429'],1
Brian Mulder,South Dakota,['HB1116'],1
Brian Seitz,Missouri,['HB170'],1
Brian Stewart,Ohio,"[""HB68'"", ""'HB6""]",2
Brian Strickland,Georgia,['SB140'],1
Briscoe Cain,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB1752'"", ""'HB23'"", ""'HB3164'"", ""'HB631'"", ""'HB888""]",7
Brit McKenzie,Arkansas,['SB294'],1
Brock Martin,Tennessee,['HB0001'],1
Brooke Boden,Iowa,['HF2'],1
