,State,Abbreviation,Number,URL
53,Indiana,IN,SB0480,https://legiscan.com/IN/bill/SB0480/2023
54,Indiana,IN,SB0487,https://legiscan.com/IN/bill/SB0487/2023
55,Indiana,IN,HB1569,https://legiscan.com/IN/bill/HB1569/2023
56,Indiana,IN,HB1589,https://legiscan.com/IN/bill/HB1589/2023
57,Iowa,IA,HF180,https://legiscan.com/IA/bill/HF180/2023
58,Iowa,IA,HF180,https://legiscan.com/IA/bill/HF180/2023
59,Iowa,IA,HF2,https://legiscan.com/IA/bill/HF2/2023
60,Iowa,IA,HF8,https://legiscan.com/IA/bill/HF8/2023
61,Iowa,IA,SF110,https://legiscan.com/IA/bill/SF110/2023
62,Iowa,IA,SF129,https://legiscan.com/IA/bill/SF129/2023
63,Iowa,IA,SF159,https://legiscan.com/IA/bill/SF159/2023
64,Iowa,IA,SF83,https://legiscan.com/IA/bill/SF83/2023
65,Iowa,IA,SF335,https://legiscan.com/IA/bill/SF335/2023
66,Iowa,IA,SF348,https://legiscan.com/IA/bill/SF348/2023
67,Iowa,IA,HF290,https://legiscan.com/IA/bill/HF290/2023
68,Iowa,IA,HF325,https://legiscan.com/IA/bill/HF325/2023
69,Kansas,KS,HB2238,https://legiscan.com/KS/bill/HB2238/2023
70,Kansas,KS,HB2404,https://legiscan.com/KS/bill/HB2404/2023
71,Kansas,KS,HB2427,https://legiscan.com/KS/bill/HB2427/2023
72,Kansas,KS,SB12,https://legiscan.com/KS/bill/SB12/2023
73,Kansas,KS,SB149,https://legiscan.com/KS/bill/SB149/2023
74,Kansas,KS,SB180,https://legiscan.com/KS/bill/SB180/2023
75,Kansas,KS,SB201,https://legiscan.com/KS/bill/SB201/2023
76,Kansas,KS,SB207,https://legiscan.com/KS/bill/SB207/2023
77,Kansas,KS,SB224,https://legiscan.com/KS/bill/SB224/2023
78,Kansas,KS,SB233,https://legiscan.com/KS/bill/SB233/2023
79,Kansas,KS,SB255,https://legiscan.com/KS/bill/SB255/2023
80,Kansas,KS,HB2436,https://legiscan.com/KS/bill/HB2436/2023
81,Kentucky,KY,HB120,https://legiscan.com/KY/bill/HB120/2023
82,Kentucky,KY,HB173,https://legiscan.com/KY/bill/HB173/2023
83,Kentucky,KY,HB177,https://legiscan.com/KY/bill/HB177/2023
84,Kentucky,KY,HB30,https://legiscan.com/KY/bill/HB30/2023
85,Kentucky,KY,HB58,https://legiscan.com/KY/bill/HB58/2023
86,Kentucky,KY,SB102,https://legiscan.com/KY/bill/SB102/2023
87,Kentucky,KY,SB115,https://legiscan.com/KY/bill/SB115/2023
88,Kentucky,KY,SB150,https://legiscan.com/KY/bill/SB150/2023
89,Kentucky,KY,HB470,https://legiscan.com/KY/bill/HB470/2023
90,Kentucky,KY,HB585,https://legiscan.com/KY/bill/HB585/2023
91,Maryland,MD,HB359,https://legiscan.com/MD/bill/HB359/2023
92,Minnesota,MN,HF1903,https://legiscan.com/MN/bill/HF1903/2023
93,Minnesota,MN,SF311,https://legiscan.com/MN/bill/SF311/2023
94,Minnesota,MN,SF933,https://legiscan.com/MN/bill/SF933/2023
95,Mississippi,MS,HB1074,https://legiscan.com/MS/bill/HB1074/2023
96,Mississippi,MS,HB1099,https://legiscan.com/MS/bill/HB1099/2023
97,Mississippi,MS,HB1124,https://legiscan.com/MS/bill/HB1124/2023
98,Mississippi,MS,HB1125,https://legiscan.com/MS/bill/HB1125/2023
99,Mississippi,MS,HB1126,https://legiscan.com/MS/bill/HB1126/2023
100,Mississippi,MS,HB1127,https://legiscan.com/MS/bill/HB1127/2023
101,Mississippi,MS,HB1144,https://legiscan.com/MS/bill/HB1144/2023
102,Mississippi,MS,HB1258,https://legiscan.com/MS/bill/HB1258/2023
103,Mississippi,MS,HB1476,https://legiscan.com/MS/bill/HB1476/2023
104,Mississippi,MS,HB1480,https://legiscan.com/MS/bill/HB1480/2023
105,Mississippi,MS,HB1489,https://legiscan.com/MS/bill/HB1489/2023
106,Mississippi,MS,HB456,https://legiscan.com/MS/bill/HB456/2023
107,Mississippi,MS,HB509,https://legiscan.com/MS/bill/HB509/2023
108,Mississippi,MS,HB576,https://legiscan.com/MS/bill/HB576/2023
109,Mississippi,MS,SB2076,https://legiscan.com/MS/bill/SB2076/2023
110,Mississippi,MS,SB2760,https://legiscan.com/MS/bill/SB2760/2023
111,Mississippi,MS,SB2763,https://legiscan.com/MS/bill/SB2763/2023
112,Mississippi,MS,SB2764,https://legiscan.com/MS/bill/SB2764/2023
113,Mississippi,MS,SB2765,https://legiscan.com/MS/bill/SB2765/2023
114,Mississippi,MS,SB2770,https://legiscan.com/MS/bill/SB2770/2023
115,Mississippi,MS,SB2773,https://legiscan.com/MS/bill/SB2773/2023
116,Mississippi,MS,SB2820,https://legiscan.com/MS/bill/SB2820/2023
117,Mississippi,MS,SB2861,https://legiscan.com/MS/bill/SB2861/2023
118,Mississippi,MS,SB2864,https://legiscan.com/MS/bill/SB2864/2023
119,Missouri,MO,HB137,https://legiscan.com/MO/bill/HB137/2023
120,Missouri,MO,HB170,https://legiscan.com/MO/bill/HB170/2023
121,Missouri,MO,HB183,https://legiscan.com/MO/bill/HB183/2023
