,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
31,Hawaii,HI,HB291,https://legiscan.com/HI/bill/HB291/2023,1671078,,
32,Hawaii,HI,HB508,https://legiscan.com/HI/bill/HB508/2023,1673977,,
33,Hawaii,HI,HB509,https://legiscan.com/HI/bill/HB509/2023,1674028,,
34,Hawaii,HI,HB891,https://legiscan.com/HI/bill/HB891/2023,1676530,,
35,Hawaii,HI,SB1428,https://legiscan.com/HI/bill/SB1428/2023,1678920,,
36,Hawaii,HI,SB1429,https://legiscan.com/HI/bill/SB1429/2023,1678936,,
37,Idaho,ID,H0071,https://legiscan.com/ID/bill/H0071/2023,1692476,,
38,Idaho,ID,S1003,https://legiscan.com/ID/bill/S1003/2023,1659883,,
39,Idaho,ID,S1016,https://legiscan.com/ID/bill/S1016/2023,1673013,,
40,Idaho,ID,S1100,https://legiscan.com/ID/bill/S1100/2023,1705651,,
41,Illinois,IL,HB1562,https://legiscan.com/IL/bill/HB1562/2023,1685650,,
42,Illinois,IL,SB1659,https://legiscan.com/IL/bill/SB1659/2023,1699553,,
43,Indiana,IN,HB1118,https://legiscan.com/IN/bill/HB1118/2023,1649543,,
44,Indiana,IN,HB1220,https://legiscan.com/IN/bill/HB1220/2023,1650061,,
45,Indiana,IN,HB1231,https://legiscan.com/IN/bill/HB1231/2023,1650034,,
46,Indiana,IN,HB1232,https://legiscan.com/IN/bill/HB1232/2023,1650067,,
47,Indiana,IN,HB1346,https://legiscan.com/IN/bill/HB1346/2023,1660560,,
48,Indiana,IN,HB1407,https://legiscan.com/IN/bill/HB1407/2023,1660515,,
49,Indiana,IN,HB1525,https://legiscan.com/IN/bill/HB1525/2023,1671371,,
50,Indiana,IN,HB1608,https://legiscan.com/IN/bill/HB1608/2023,1671425,,
51,Indiana,IN,SB0354,https://legiscan.com/IN/bill/SB0354/2023,1655679,,
52,Indiana,IN,SB0413,https://legiscan.com/IN/bill/SB0413/2023,1665406,,
53,Indiana,IN,SB0480,https://legiscan.com/IN/bill/SB0480/2023,1671449,,
54,Indiana,IN,SB0487,https://legiscan.com/IN/bill/SB0487/2023,1671534,,
55,Indiana,IN,HB1569,https://legiscan.com/IN/bill/HB1569/2023,1671533,,
56,Indiana,IN,HB1589,https://legiscan.com/IN/bill/HB1589/2023,1671517,,
57,Iowa,IA,HF180,https://legiscan.com/IA/bill/HF180/2023,1689864,,
58,Iowa,IA,HF180,https://legiscan.com/IA/bill/HF180/2023,1689864,,
59,Iowa,IA,HF2,https://legiscan.com/IA/bill/HF2/2023,1652323,,
60,Iowa,IA,HF8,https://legiscan.com/IA/bill/HF8/2023,1652433,,
61,Iowa,IA,SF110,https://legiscan.com/IA/bill/SF110/2023,1675505,,
62,Iowa,IA,SF129,https://legiscan.com/IA/bill/SF129/2023,1679538,,
63,Iowa,IA,SF159,https://legiscan.com/IA/bill/SF159/2023,1683643,,
64,Iowa,IA,SF83,https://legiscan.com/IA/bill/SF83/2023,1662343,,
65,Iowa,IA,SF335,https://legiscan.com/IA/bill/SF335/2023,1715538,,
66,Iowa,IA,SF348,https://legiscan.com/IA/bill/SF348/2023,1716093,,
67,Iowa,IA,HF290,https://legiscan.com/IA/bill/HF290/2023,1706272,,
