,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
65,Iowa,IA,SF335,https://legiscan.com/IA/bill/SF335/2023,1715538,2709624.0,
66,Iowa,IA,SF348,https://legiscan.com/IA/bill/SF348/2023,1716093,2710463.0,
67,Iowa,IA,HF290,https://legiscan.com/IA/bill/HF290/2023,1706272,2697096.0,
68,Iowa,IA,HF325,https://legiscan.com/IA/bill/HF325/2023,1709280,2701048.0,
69,Kansas,KS,HB2238,https://legiscan.com/KS/bill/HB2238/2023,1688145,2672493.0,
70,Kansas,KS,HB2404,https://legiscan.com/KS/bill/HB2404/2023,1703141,2694153.0,
71,Kansas,KS,HB2427,https://legiscan.com/KS/bill/HB2427/2023,1710783,2703140.0,
72,Kansas,KS,SB12,https://legiscan.com/KS/bill/SB12/2023,1644117,2624321.0,
73,Kansas,KS,SB149,https://legiscan.com/KS/bill/SB149/2023,1693313,2680067.0,
74,Kansas,KS,SB180,https://legiscan.com/KS/bill/SB180/2023,1698406,2686001.0,
75,Kansas,KS,SB201,https://legiscan.com/KS/bill/SB201/2023,1698684,2686283.0,
76,Kansas,KS,SB207,https://legiscan.com/KS/bill/SB207/2023,1700859,2689339.0,
77,Kansas,KS,SB224,https://legiscan.com/KS/bill/SB224/2023,1702612,2691598.0,
78,Kansas,KS,SB233,https://legiscan.com/KS/bill/SB233/2023,1704027,2693547.0,
79,Kansas,KS,SB255,https://legiscan.com/KS/bill/SB255/2023,1709030,2700798.0,
80,Kansas,KS,HB2436,https://legiscan.com/KS/bill/HB2436/2023,1717961,2714525.0,
81,Kentucky,KY,HB120,https://legiscan.com/KY/bill/HB120/2023,1644187,2624382.0,
82,Kentucky,KY,HB173,https://legiscan.com/KY/bill/HB173/2023,1698754,2686660.0,
83,Kentucky,KY,HB177,https://legiscan.com/KY/bill/HB177/2023,1698847,2686760.0,
84,Kentucky,KY,HB30,https://legiscan.com/KY/bill/HB30/2023,1642113,2622424.0,
85,Kentucky,KY,HB58,https://legiscan.com/KY/bill/HB58/2023,1642138,2622445.0,
86,Kentucky,KY,SB102,https://legiscan.com/KY/bill/SB102/2023,1700889,2689368.0,
87,Kentucky,KY,SB115,https://legiscan.com/KY/bill/SB115/2023,1703927,2693447.0,
88,Kentucky,KY,SB150,https://legiscan.com/KY/bill/SB150/2023,1700608,2689108.0,
89,Kentucky,KY,HB470,https://legiscan.com/KY/bill/HB470/2023,1717460,2712257.0,
90,Kentucky,KY,HB585,https://legiscan.com/KY/bill/HB585/2023,1718825,2714150.0,
91,Maryland,MD,HB359,https://legiscan.com/MD/bill/HB359/2023,1681678,2665464.0,
92,Minnesota,MN,HF1903,https://legiscan.com/MN/bill/HF1903/2023,1710675,2703042.0,
93,Minnesota,MN,SF311,https://legiscan.com/MN/bill/SF311/2023,1659057,2640770.0,
94,Minnesota,MN,SF933,https://legiscan.com/MN/bill/SF933/2023,1684998,2668692.0,
95,Mississippi,MS,HB1074,https://legiscan.com/MS/bill/HB1074/2023,1668972,2650842.0,
96,Mississippi,MS,HB1099,https://legiscan.com/MS/bill/HB1099/2023,1669732,2651604.0,
97,Mississippi,MS,HB1124,https://legiscan.com/MS/bill/HB1124/2023,1668884,2650738.0,
98,Mississippi,MS,HB1125,https://legiscan.com/MS/bill/HB1125/2023,1668851,2650703.0,
99,Mississippi,MS,HB1126,https://legiscan.com/MS/bill/HB1126/2023,1669143,2651030.0,
100,Mississippi,MS,HB1127,https://legiscan.com/MS/bill/HB1127/2023,1668816,2650660.0,
101,Mississippi,MS,HB1144,https://legiscan.com/MS/bill/HB1144/2023,1670368,2654079.0,
102,Mississippi,MS,HB1258,https://legiscan.com/MS/bill/HB1258/2023,1672999,2655161.0,
103,Mississippi,MS,HB1476,https://legiscan.com/MS/bill/HB1476/2023,1682551,2665551.0,
104,Mississippi,MS,HB1480,https://legiscan.com/MS/bill/HB1480/2023,1682988,2665928.0,
105,Mississippi,MS,HB1489,https://legiscan.com/MS/bill/HB1489/2023,1682663,2665648.0,
106,Mississippi,MS,HB456,https://legiscan.com/MS/bill/HB456/2023,1657158,2638612.0,
107,Mississippi,MS,HB509,https://legiscan.com/MS/bill/HB509/2023,1658471,2640175.0,
108,Mississippi,MS,HB576,https://legiscan.com/MS/bill/HB576/2023,1660114,2641948.0,
109,Mississippi,MS,SB2076,https://legiscan.com/MS/bill/SB2076/2023,1649395,2629442.0,
110,Mississippi,MS,SB2760,https://legiscan.com/MS/bill/SB2760/2023,1672562,2654740.0,
111,Mississippi,MS,SB2763,https://legiscan.com/MS/bill/SB2763/2023,1672706,2654879.0,
112,Mississippi,MS,SB2764,https://legiscan.com/MS/bill/SB2764/2023,1673066,2655227.0,
113,Mississippi,MS,SB2765,https://legiscan.com/MS/bill/SB2765/2023,1672927,2655090.0,
114,Mississippi,MS,SB2770,https://legiscan.com/MS/bill/SB2770/2023,1673057,2655219.0,
115,Mississippi,MS,SB2773,https://legiscan.com/MS/bill/SB2773/2023,1672862,2655029.0,
116,Mississippi,MS,SB2820,https://legiscan.com/MS/bill/SB2820/2023,1673713,2655957.0,
117,Mississippi,MS,SB2861,https://legiscan.com/MS/bill/SB2861/2023,1673757,2656000.0,
118,Mississippi,MS,SB2864,https://legiscan.com/MS/bill/SB2864/2023,1673543,2655792.0,
119,Missouri,MO,HB137,https://legiscan.com/MO/bill/HB137/2023,1634716,2615085.0,
120,Missouri,MO,HB170,https://legiscan.com/MO/bill/HB170/2023,1634841,2615174.0,
121,Missouri,MO,HB183,https://legiscan.com/MO/bill/HB183/2023,1634572,2614977.0,
122,Missouri,MO,HB192,https://legiscan.com/MO/bill/HB192/2023,1634595,2614996.0,
123,Missouri,MO,HB337,https://legiscan.com/MO/bill/HB337/2023,1634768,2615234.0,
124,Missouri,MO,HB419,https://legiscan.com/MO/bill/HB419/2023,1640339,2620652.0,
125,Missouri,MO,HB463,https://legiscan.com/MO/bill/HB463/2023,1640281,2620606.0,
126,Missouri,MO,HB498,https://legiscan.com/MO/bill/HB498/2023,1640345,2620658.0,
127,Missouri,MO,HB540,https://legiscan.com/MO/bill/HB540/2023,1642575,2622929.0,
128,Missouri,MO,HB634,https://legiscan.com/MO/bill/HB634/2023,1642886,2623624.0,
129,Missouri,MO,HB916,https://legiscan.com/MO/bill/HB916/2023,1675866,2658485.0,
130,Missouri,MO,SB134,https://legiscan.com/MO/bill/SB134/2023,1634983,2631112.0,
131,Missouri,MO,SB14,https://legiscan.com/MO/bill/SB14/2023,1635044,2632034.0,
