,State,Abbreviation,Number,URL,Bill ID,Sponsors
83,Kentucky,KY,HB177,https://legiscan.com/KY/bill/HB177/2023,1698847,"['Shane Baker', 'Jennifer Henson Decker', 'Danny Bentley', 'Steve Bratcher', 'Randy Bridges', 'Emily Callaway', 'Josh Calloway', 'Steven Doan', 'Myron Dossett', 'Ryan Dotson', 'Daniel Fister', 'Patrick Flannery', 'Deanna Frazier Gordon', 'Chris Freeland', 'Chris Fugate', 'Jim Gooch', 'David Hale', 'Mark Hart', 'Richard Heath', 'John Hodgson', 'Thomas Huff', 'Mary Imes', 'DJ Johnson', 'Jacob Justice', 'Matt Lockett', 'Savannah Maddox', 'Candy Massaroni', 'Bobby McCool', 'Shawn McPherson', 'Amy Neighbors', 'Jason Petrie', 'Michael Pollock', 'Marianne Proctor', 'Felicia Rabourn', 'Steve Rawlings', 'Rebecca Raymer', 'William Reed', 'Scott Sharp', 'Tom Smith', 'Nancy Tate', 'Walker Thomas', 'James Tipton', 'Timmy Truett', 'Russell Webber', 'Billy Wesley', 'Richard White', 'Wade Williams', 'Susan Tyler Witten']"
84,Kentucky,KY,HB30,https://legiscan.com/KY/bill/HB30/2023,1642113,"['Billy Wesley', 'Shane Baker', 'Danny Bentley', 'Randy Bridges', 'Josh Calloway', 'Jennifer Henson Decker', 'Steven Doan', 'Ryan Dotson', 'Robert Duvall', 'Daniel Fister', 'Chris Freeland', 'Chris Fugate', 'Jim Gooch', 'David Hale', 'Richard Heath', 'John Hodgson', 'Thomas Huff', 'Kevin Jackson', 'DJ Johnson', 'Candy Massaroni', 'Bobby McCool', 'Shawn McPherson', 'Jason Petrie', 'Michael Pollock', 'Marianne Proctor', 'Steve Rawlings', 'William Reed', 'Scott Sharp', 'Tom Smith', 'Nancy Tate', 'Walker Thomas', 'James Tipton', 'Timmy Truett', 'Russell Webber', 'Richard White', 'Wade Williams']"
85,Kentucky,KY,HB58,https://legiscan.com/KY/bill/HB58/2023,1642138,"['Steve Rawlings', 'Josh Calloway', 'John Hodgson', 'Savannah Maddox', 'Marianne Proctor', 'Nancy Tate', 'Billy Wesley']"
86,Kentucky,KY,SB102,https://legiscan.com/KY/bill/SB102/2023,1700889,"['Lindsey Tichenor', 'Shelley Frommeyer', 'Gary Boswell', 'Rick Girdler', 'Robert Mills', 'Adrienne Southworth', 'Johnnie Turner', 'Gex Williams']"
87,Kentucky,KY,SB115,https://legiscan.com/KY/bill/SB115/2023,1703927,"['Lindsey Tichenor', 'Gex Williams', 'Gary Boswell', 'Adrienne Southworth', 'Phillip Wheeler', 'Mike Wilson']"
88,Kentucky,KY,SB150,https://legiscan.com/KY/bill/SB150/2023,1700608,"['George Wise', 'Gary Boswell', 'Danny Carroll', 'Shelley Frommeyer', 'Rick Girdler', 'Stephen Meredith', 'Robert Mills', 'John Schickel', 'Brandon Storm', 'Lindsey Tichenor', 'Phillip Wheeler', 'Gex Williams', 'Mike Wilson']"
89,Kentucky,KY,HB470,https://legiscan.com/KY/bill/HB470/2023,1717460,"['Jennifer Henson Decker', 'James Tipton', 'Shane Baker', 'Steve Bratcher', 'Randy Bridges', 'Emily Callaway', 'Josh Calloway', 'Ryan Dotson', 'Daniel Elliott', 'Daniel Fister', 'Patrick Flannery', 'Deanna Frazier Gordon', 'Chris Fugate', 'Jim Gooch', 'David Hale', 'Richard Heath', 'John Hodgson', 'Mary Imes', 'DJ Johnson', 'Kim King', 'Matt Lockett', 'Candy Massaroni', 'Bobby McCool', 'Shawn McPherson', 'Amy Neighbors', 'Jason Petrie', 'Marianne Proctor', 'Steve Rawlings', 'Rebecca Raymer', 'William Reed', 'Steven Rudy', 'Scott Sharp', 'Nancy Tate', 'Walker Thomas', 'Timmy Truett', 'Ken Upchurch', 'Russell Webber', 'Billy Wesley', 'Wade Williams']"
90,Kentucky,KY,HB585,https://legiscan.com/KY/bill/HB585/2023,1718825,['Billy Wesley']
91,Maryland,MD,HB359,https://legiscan.com/MD/bill/HB359/2023,1681678,"['Kathy Szeliga', 'Christopher Adams', 'Steven Arentz', 'Lauren Arikan', 'Terry Baker', 'Christopher Bouchat', 'Jason Buckel', 'Brian Chisholm', 'Barrie Ciliberti', 'Mark Fisher', 'Jeff Ghrist', 'Robin Grammer', 'Michael Griffith', 'Wayne Hartman', 'Jim Hinebaugh', 'Kevin Hornberger', 'Jay Jacobs', 'Nicholaus Kipke', 'Bob Long', 'Nino Mangione', 'Susan McComas', 'Ric Metzgar', 'April Fleming Miller', 'Matt Morgan', 'Todd Morgan', 'Ryan Nawrocki', 'Charles Otto', 'Teresa Reilly', 'April Rose', 'Stuart Schmidt', 'Chris Tomlinson', 'William Valentine', 'William Wivell']"
92,Minnesota,MN,HF1903,https://legiscan.com/MN/bill/HF1903/2023,1710675,['Walter Hudson']
