,State,Abbreviation,Number,URL,Bill ID,Sponsors
28,Georgia,GA,SB140,https://legiscan.com/GA/bill/SB140/2023,1702876,"['Carden Summers', 'Ben Watson', 'Kay Kirkpatrick', 'John Kennedy', 'Lee Anderson', 'Matt Brass', 'Jason Anavitarte', 'Billy Hickman', 'John Albers', 'Ed Setzler', 'Shawn Still', 'Brandon Beach', 'Russ Goodman', 'Sam Watson', 'Chuck Payne', 'Larry Walker', 'Blake Tillery', 'Brian Strickland', 'Marty Harbin', 'Ricky Williams', 'Clint Dixon', 'Colton Moore']"
29,Georgia,GA,SB141,https://legiscan.com/GA/bill/SB141/2023,1702869,"['Clint Dixon', 'Steve Gooch', 'Marty Harbin', 'Randy Robertson', 'Shawn Still', 'John Albers', 'Matt Brass', 'Greg Dolezal', 'Shelly Echols', 'Colton Moore', 'Lee Anderson', 'Max Burns', 'Ed Setzler', 'Sam Watson', 'Carden Summers']"
30,Georgia,GA,SB88,https://legiscan.com/GA/bill/SB88/2023,1694010,"['Carden Summers', 'Colton Moore', 'Brandon Beach', 'Clint Dixon', 'Randy Robertson', 'John Albers', 'Shawn Still', 'Lee Anderson', 'Matt Brass', 'Chuck Payne', 'Marty Harbin']"
31,Hawaii,HI,HB291,https://legiscan.com/HI/bill/HB291/2023,1671078,['David Alcos']
32,Hawaii,HI,HB508,https://legiscan.com/HI/bill/HB508/2023,1673977,['Diamond Garcia']
33,Hawaii,HI,HB509,https://legiscan.com/HI/bill/HB509/2023,1674028,['Diamond Garcia']
34,Hawaii,HI,HB891,https://legiscan.com/HI/bill/HB891/2023,1676530,['Diamond Garcia']
35,Hawaii,HI,SB1428,https://legiscan.com/HI/bill/SB1428/2023,1678920,['Brenton Awa']
36,Hawaii,HI,SB1429,https://legiscan.com/HI/bill/SB1429/2023,1678936,['Brenton Awa']
37,Idaho,ID,H0071,https://legiscan.com/ID/bill/H0071/2023,1692476,"['Judiciary, Rules and Administration Committee', 'Ben Adams', 'Brent Crane', 'Daniel Foreman', 'Kevin Andrus', 'Glenneda Zuiderveld', 'Jordan Redman', 'Tammy Nichols', 'Brandon Mitchell', 'Jeff Cornilles', 'Kenny Wroten', 'Lance Clow', 'Jaron Crane', 'Julianne Young', 'Joe Alfieri', 'Vito Barbieri', 'Heather Scott', 'Jacyn Gallagher', 'Mike Kingsley', 'Dale Hawkins', 'Charlie Shepherd', 'Elaine Price']"
38,Idaho,ID,S1003,https://legiscan.com/ID/bill/S1003/2023,1659883,['State Affairs Committee']
39,Idaho,ID,S1016,https://legiscan.com/ID/bill/S1016/2023,1673013,['State Affairs Committee']
40,Idaho,ID,S1100,https://legiscan.com/ID/bill/S1100/2023,1705651,['Education Committee']
41,Illinois,IL,HB1562,https://legiscan.com/IL/bill/HB1562/2023,1685650,['David Friess']
42,Illinois,IL,SB1659,https://legiscan.com/IL/bill/SB1659/2023,1699553,['Andrew Chesney']
43,Indiana,IN,HB1118,https://legiscan.com/IN/bill/HB1118/2023,1649543,"['Lorissa Sweet', 'Zach Payne']"
44,Indiana,IN,HB1220,https://legiscan.com/IN/bill/HB1220/2023,1650061,"['Michelle Davis', 'Dale DeVon', 'Jake Teshka', 'Christopher Judy']"
45,Indiana,IN,HB1231,https://legiscan.com/IN/bill/HB1231/2023,1650034,"['Ryan Lauer', 'John Prescott', 'David Abbott']"
46,Indiana,IN,HB1232,https://legiscan.com/IN/bill/HB1232/2023,1650067,"['Ryan Lauer', 'Michelle Davis']"
47,Indiana,IN,HB1346,https://legiscan.com/IN/bill/HB1346/2023,1660560,"['Jake Teshka', 'Joanna King', 'Martin Carbaugh', 'Timothy Wesco']"
48,Indiana,IN,HB1407,https://legiscan.com/IN/bill/HB1407/2023,1660515,"['Dale DeVon', 'Chris Jeter', 'Robert Heaton', 'Lindsay Patterson', 'Aaron Freeman', 'Stacey Donato', 'Jeff Raatz']"
49,Indiana,IN,HB1525,https://legiscan.com/IN/bill/HB1525/2023,1671371,['Bruce Borders']
